meme_id,timestep,agent1,agent2
433,16,0h,14.0
433,16,0h,19.0
433,16,0h,34.0
433,16,0h,1l
416,16,49.0,39.0
310,16,39.0,29.0
433,16,19.0,9.0
476,16,30.0,31.0
476,16,30.0,32.0
476,16,30.0,33.0
476,16,30.0,34.0
476,16,30.0,35.0
476,16,30.0,36.0
476,16,30.0,37.0
476,16,30.0,38.0
476,16,30.0,39.0
477,16,40.0,41.0
477,16,40.0,42.0
477,16,40.0,43.0
477,16,40.0,44.0
477,16,40.0,45.0
477,16,40.0,46.0
477,16,40.0,47.0
477,16,40.0,48.0
477,16,40.0,49.0
310,16,29.0,19.0
481,16,30.0,31.0
481,16,30.0,32.0
481,16,30.0,33.0
481,16,30.0,34.0
481,16,30.0,35.0
481,16,30.0,36.0
481,16,30.0,37.0
481,16,30.0,38.0
481,16,30.0,39.0
482,17,10.0,11.0
482,17,10.0,12.0
482,17,10.0,13.0
482,17,10.0,14.0
482,17,10.0,15.0
482,17,10.0,16.0
482,17,10.0,17.0
482,17,10.0,18.0
482,17,10.0,19.0
485,17,49.0,39.0
487,17,20.0,21.0
487,17,20.0,22.0
487,17,20.0,23.0
487,17,20.0,24.0
487,17,20.0,25.0
487,17,20.0,26.0
487,17,20.0,27.0
487,17,20.0,28.0
487,17,20.0,29.0
489,17,40.0,41.0
489,17,40.0,42.0
489,17,40.0,43.0
489,17,40.0,44.0
489,17,40.0,45.0
489,17,40.0,46.0
489,17,40.0,47.0
489,17,40.0,48.0
489,17,40.0,49.0
490,17,20.0,21.0
490,17,20.0,22.0
490,17,20.0,23.0
490,17,20.0,24.0
490,17,20.0,25.0
490,17,20.0,26.0
490,17,20.0,27.0
490,17,20.0,28.0
490,17,20.0,29.0
491,17,30.0,31.0
491,17,30.0,32.0
491,17,30.0,33.0
491,17,30.0,34.0
491,17,30.0,35.0
491,17,30.0,36.0
491,17,30.0,37.0
491,17,30.0,38.0
491,17,30.0,39.0
493,17,29.0,19.0
495,17,30.0,31.0
495,17,30.0,32.0
495,17,30.0,33.0
495,17,30.0,34.0
495,17,30.0,35.0
495,17,30.0,36.0
495,17,30.0,37.0
495,17,30.0,38.0
495,17,30.0,39.0
495,17,39.0,29.0
500,17,30.0,31.0
500,17,30.0,32.0
500,17,30.0,33.0
